||||Sütunlar|
Satırlar|||||
|||||
Boşanma Sayısı|Eşlerin yaş farkı:1|Adana, Mersin-TR62|2001|433.0|
|||2002|459.0|
|||2003|451.0|
|||2004|416.0|
|||2005|387.0|
|||2006|417.0|
|||2007|378.0|
|||2008|431.0|
|||2009|448.0|
|||2010|465.0|
|||2011|505.0|
|||2012|520.0|
|||2013|577.0|
|||2014|595.0|
|||2015|590.0|
|||2016|532.0|
|||2017|605.0|
|||2018|689.0|
|||2019|705.0|
|||2020|658.0|
||Ağrı, Kars, Iğdır, Ardahan-TRA2|2001|42.0|
|||2002|41.0|
|||2003|38.0|
|||2004|48.0|
|||2005|51.0|
|||2006|37.0|
|||2007|45.0|
|||2008|27.0|
|||2009|32.0|
|||2010|33.0|
|||2011|44.0|
|||2012|32.0|
|||2013|32.0|
|||2014|39.0|
|||2015|37.0|
|||2016|27.0|
|||2017|37.0|
|||2018|65.0|
|||2019|39.0|
|||2020|50.0|
||Ankara-TR51|2001|745.0|
|||2002|699.0|
|||2003|652.0|
|||2004|615.0|
|||2005|739.0|
|||2006|721.0|
|||2007|773.0|
|||2008|772.0|
|||2009|862.0|
|||2010|835.0|
|||2011|927.0|
|||2012|929.0|
|||2013|1004.0|
|||2014|947.0|
|||2015|942.0|
|||2016|964.0|
|||2017|955.0|
|||2018|1067.0|
|||2019|1164.0|
|||2020|968.0|
||Antalya, Isparta, Burdur-TR61|2001|311.0|
|||2002|339.0|
|||2003|368.0|
|||2004|330.0|
|||2005|322.0|
|||2006|361.0|
|||2007|367.0|
|||2008|344.0|
|||2009|395.0|
|||2010|454.0|
|||2011|490.0|
|||2012|484.0|
|||2013|524.0|
|||2014|558.0|
|||2015|520.0|
|||2016|507.0|
|||2017|501.0|
|||2018|615.0|
|||2019|685.0|
|||2020|559.0|
||Aydın, Denizli, Muğla-TR32|2001|359.0|
|||2002|358.0|
|||2003|386.0|
|||2004|371.0|
|||2005|402.0|
|||2006|379.0|
|||2007|357.0|
|||2008|391.0|
|||2009|475.0|
|||2010|492.0|
|||2011|451.0|
|||2012|455.0|
|||2013|508.0|
|||2014|500.0|
|||2015|533.0|
|||2016|493.0|
|||2017|551.0|
|||2018|566.0|
|||2019|671.0|
|||2020|569.0|
||Balıkesir, Çanakkale-TR22|2001|167.0|
|||2002|162.0|
|||2003|188.0|
|||2004|194.0|
|||2005|176.0|
|||2006|192.0|
|||2007|210.0|
|||2008|194.0|
|||2009|225.0|
|||2010|216.0|
|||2011|254.0|
|||2012|269.0|
|||2013|231.0|
|||2014|263.0|
|||2015|219.0|
|||2016|280.0|
|||2017|242.0|
|||2018|282.0|
|||2019|339.0|
|||2020|269.0|
||Bursa, Eskişehir, Bilecik-TR41|2001|345.0|
|||2002|344.0|
|||2003|342.0|
|||2004|294.0|
|||2005|375.0|
|||2006|386.0|
|||2007|405.0|
|||2008|412.0|
|||2009|450.0|
|||2010|503.0|
|||2011|528.0|
|||2012|571.0|
|||2013|576.0|
|||2014|605.0|
|||2015|629.0|
|||2016|607.0|
|||2017|672.0|
|||2018|720.0|
|||2019|716.0|
|||2020|691.0|
||Erzurum, Erzincan, Bayburt-TRA1|2001|51.0|
|||2002|65.0|
|||2003|59.0|
|||2004|55.0|
|||2005|53.0|
|||2006|51.0|
|||2007|51.0|
|||2008|37.0|
|||2009|53.0|
|||2010|44.0|
|||2011|54.0|
|||2012|68.0|
|||2013|69.0|
|||2014|57.0|
|||2015|59.0|
|||2016|53.0|
|||2017|58.0|
|||2018|64.0|
|||2019|67.0|
|||2020|67.0|
||Gaziantep, Adıyaman, Kilis-TRC1|2001|200.0|
|||2002|214.0|
|||2003|196.0|
|||2004|193.0|
|||2005|213.0|
|||2006|194.0|
|||2007|183.0|
|||2008|138.0|
|||2009|155.0|
|||2010|163.0|
|||2011|185.0|
|||2012|205.0|
|||2013|191.0|
|||2014|226.0|
|||2015|236.0|
|||2016|183.0|
|||2017|207.0|
|||2018|234.0|
|||2019|267.0|
|||2020|250.0|
||Hatay, Kahramanmaraş, Osmaniye-TR63|2001|236.0|
|||2002|247.0|
|||2003|240.0|
|||2004|247.0|
|||2005|239.0|
|||2006|217.0|
|||2007|223.0|
|||2008|214.0|
|||2009|257.0|
|||2010|235.0|
|||2011|242.0|
|||2012|262.0|
|||2013|233.0|
|||2014|238.0|
|||2015|279.0|
|||2016|267.0|
|||2017|274.0|
|||2018|365.0|
|||2019|395.0|
|||2020|348.0|
||İstanbul-TR10|2001|1651.0|
|||2002|1594.0|
|||2003|1506.0|
|||2004|1583.0|
|||2005|1792.0|
|||2006|1727.0|
|||2007|1682.0|
|||2008|1628.0|
|||2009|2003.0|
|||2010|1954.0|
|||2011|2179.0|
|||2012|2249.0|
|||2013|2195.0|
|||2014|2499.0|
|||2015|2265.0|
|||2016|2296.0|
|||2017|2398.0|
|||2018|2701.0|
|||2019|2846.0|
|||2020|2426.0|
||İzmir-TR31|2001|638.0|
|||2002|644.0|
|||2003|598.0|
|||2004|645.0|
|||2005|673.0|
|||2006|704.0|
|||2007|711.0|
|||2008|734.0|
|||2009|839.0|
|||2010|888.0|
|||2011|946.0|
|||2012|904.0|
|||2013|884.0|
|||2014|914.0|
|||2015|894.0|
|||2016|837.0|
|||2017|917.0|
|||2018|1000.0|
|||2019|1089.0|
|||2020|894.0|
||Kastamonu, Çankırı, Sinop-TR82|2001|68.0|
|||2002|83.0|
|||2003|68.0|
|||2004|67.0|
|||2005|60.0|
|||2006|59.0|
|||2007|60.0|
|||2008|57.0|
|||2009|61.0|
|||2010|69.0|
|||2011|88.0|
|||2012|65.0|
|||2013|63.0|
|||2014|62.0|
|||2015|88.0|
|||2016|66.0|
|||2017|73.0|
|||2018|68.0|
|||2019|100.0|
|||2020|88.0|
||Kayseri, Sivas, Yozgat-TR72|2001|270.0|
|||2002|329.0|
|||2003|293.0|
|||2004|313.0|
|||2005|290.0|
|||2006|271.0|
|||2007|212.0|
|||2008|212.0|
|||2009|219.0|
|||2010|228.0|
|||2011|233.0|
|||2012|251.0|
|||2013|252.0|
|||2014|291.0|
|||2015|305.0|
|||2016|308.0|
|||2017|259.0|
|||2018|311.0|
|||2019|325.0|
|||2020|275.0|
||Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71|2001|280.0|
|||2002|316.0|
|||2003|278.0|
|||2004|243.0|
|||2005|242.0|
|||2006|226.0|
|||2007|211.0|
|||2008|204.0|
|||2009|240.0|
|||2010|232.0|
|||2011|214.0|
|||2012|197.0|
|||2013|191.0|
|||2014|179.0|
|||2015|208.0|
|||2016|205.0|
|||2017|168.0|
|||2018|192.0|
|||2019|215.0|
|||2020|221.0|
||Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42|2001|249.0|
|||2002|287.0|
|||2003|264.0|
|||2004|287.0|
|||2005|305.0|
|||2006|322.0|
|||2007|301.0|
|||2008|327.0|
|||2009|365.0|
|||2010|394.0|
|||2011|384.0|
|||2012|420.0|
|||2013|467.0|
|||2014|479.0|
|||2015|515.0|
|||2016|459.0|
|||2017|487.0|
|||2018|544.0|
|||2019|696.0|
|||2020|557.0|
||Konya, Karaman-TR52|2001|354.0|
|||2002|339.0|
|||2003|315.0|
|||2004|358.0|
|||2005|308.0|
|||2006|296.0|
|||2007|288.0|
|||2008|262.0|
|||2009|282.0|
|||2010|322.0|
|||2011|364.0|
|||2012|362.0|
|||2013|331.0|
|||2014|365.0|
|||2015|326.0|
|||2016|328.0|
|||2017|346.0|
|||2018|356.0|
|||2019|367.0|
|||2020|372.0|
||Malatya, Elazığ, Bingöl, Tunceli-TRB1|2001|130.0|
|||2002|165.0|
|||2003|145.0|
|||2004|128.0|
|||2005|143.0|
|||2006|145.0|
|||2007|143.0|
|||2008|87.0|
|||2009|98.0|
|||2010|107.0|
|||2011|105.0|
|||2012|126.0|
|||2013|147.0|
|||2014|157.0|
|||2015|123.0|
|||2016|143.0|
|||2017|121.0|
|||2018|134.0|
|||2019|176.0|
|||2020|185.0|
||Manisa, Afyonkarahisar, Kütahya, Uşak-TR33|2001|442.0|
|||2002|425.0|
|||2003|396.0|
|||2004|378.0|
|||2005|396.0|
|||2006|338.0|
|||2007|365.0|
|||2008|331.0|
|||2009|374.0|
|||2010|390.0|
|||2011|381.0|
|||2012|433.0|
|||2013|380.0|
|||2014|447.0|
|||2015|395.0|
|||2016|399.0|
|||2017|360.0|
|||2018|466.0|
|||2019|515.0|
|||2020|412.0|
||Mardin, Batman, Şırnak, Siirt-TRC3|2001|35.0|
|||2002|28.0|
|||2003|36.0|
|||2004|27.0|
|||2005|34.0|
|||2006|34.0|
|||2007|37.0|
|||2008|31.0|
|||2009|37.0|
|||2010|36.0|
|||2011|40.0|
|||2012|49.0|
|||2013|54.0|
|||2014|49.0|
|||2015|70.0|
|||2016|46.0|
|||2017|57.0|
|||2018|52.0|
|||2019|59.0|
|||2020|82.0|
||Samsun, Tokat, Çorum, Amasya-TR83|2001|300.0|
|||2002|288.0|
|||2003|265.0|
|||2004|272.0|
|||2005|243.0|
|||2006|247.0|
|||2007|261.0|
|||2008|199.0|
|||2009|264.0|
|||2010|298.0|
|||2011|261.0|
|||2012|273.0|
|||2013|283.0|
|||2014|280.0|
|||2015|306.0|
|||2016|278.0|
|||2017|314.0|
|||2018|326.0|
|||2019|382.0|
|||2020|304.0|
||Şanlıurfa, Diyarbakır-TRC2|2001|82.0|
|||2002|132.0|
|||2003|139.0|
|||2004|144.0|
|||2005|147.0|
|||2006|131.0|
|||2007|147.0|
|||2008|84.0|
|||2009|96.0|
|||2010|98.0|
|||2011|86.0|
|||2012|92.0|
|||2013|108.0|
|||2014|121.0|
|||2015|149.0|
|||2016|140.0|
|||2017|122.0|
|||2018|162.0|
|||2019|202.0|
|||2020|170.0|
||Tekirdağ, Edirne, Kırklareli-TR21|2001|118.0|
|||2002|143.0|
|||2003|163.0|
|||2004|152.0|
|||2005|180.0|
|||2006|171.0|
|||2007|156.0|
|||2008|205.0|
|||2009|217.0|
|||2010|243.0|
|||2011|223.0|
|||2012|203.0|
|||2013|267.0|
|||2014|251.0|
|||2015|291.0|
